nom;Entreprise;Marche;Reponse;Cours;Total actifs;Autres actifs;Capitaux propres;Effectif ;Resultat net;Actifs fi non courant;CA annuel;Cout endettement financier net;Creances clients cmptes rat;Dettes fi courantes;Dettes fi non courantes;Ecart daquisition;Fournisseurs cmptes rat;Immo corp;Immo incorp;Marge ope;Prod acti ordi;Provision risques charges non courant;Resultat ope;Ratio endet;Rent fi;Stocks trav en cours;Treso
Kering;KER;CAC40;1;47.3;-0.0396102394930495;-0.328142088483481;-0.00675734019673292;-0.170772732874803;12.1176927792373;-0.145834767042502;-0.0187529852924812;0.327284299643638;0.0584834131920675;0.176650098306882;0.307444945586917;-0.105674954661335;-0.196027842960272;0.445408511202004;0.0898988491693396;9.71954864378909;-0.018726865312642;-0.124478467437711;-0.121583863372834;0.502222972174989;11.8697316951831;0.0464097303232026;0.139467323818414
Legrand SA;LR;CAC40;1;27.35;0.165946448500406;0.258571420680606;0.265313375554621;-0.01212280351643;0.14317933083177;5.58333333333333;0.127309904165385;-0.0285393618726952;0.0279861120982929;-0.771689090039552;0.188405338942399;0.149825891651165;0.206663468084294;-0.0737378856220321;0.0314564622617161;17.4041452363354;0.12736264346242;0.145520538816722;0.0903269303886816;-0.649534161040989;-0.110451850733495;0.128049495291484;0.929627827834617
Lvmh;MC;CAC40;1;35.35;0.400818064447543;0.670085035660852;0.293086255162955;0.393841464380348;0.72859320061113;-0.142576498594459;0.440182741931161;0.220628542035988;0.398576802931169;1.1272451839028;0.431724946969806;0.66640260276643;0.491853162187193;0.461250712790433;0.396408649096157;16.5787266492619;0.440458957638792;0.744986312588006;0.298225492013939;0.418466680700383;0.640560961569989;0.4956101986873;0.695198358275533
Michelin;ML;CAC40;1;42.135;0.141260566274237;0.115644783222363;0.16903102441994;-0.0288158716192892;-0.165217990880576;0.727588735078185;0.0292058895854694;-0.157242136158116;-0.102103400119264;-0.828129560867047;0.129745410563189;1.04852693145532;0.159416778021323;0.301768944224579;0.518813024812696;9.54872992655911;0.0292058895854694;0.390956617271337;0.18602286593488;1.54362231063255;-0.302346714004943;-0.0626051137412164;0.0841267354861518
Arcelor Mittal;MT;CAC40;0;-10.233;-0.265559232633003;-0.204153583221545;-0.359739398891662;-0.204912610232448;-1.99801883389749;-0.510457037678779;-0.360604053161558;0.363186752595191;-0.367573084181565;-0.467519667043407;-0.0594244892074873;-0.460675922556006;-0.129841510562014;-0.148165649449809;-0.729733988521049;3.22258086762885;0.0418698799801541;0.380653005783052;1.60575040351772;0.249309689470288;-2.18066783545301;-0.104607787822342;-0.199173276976684
L'oreal;OR;CAC40;1;74.55;0.235201789714565;4.37437109433314;0.330004175605933;0.135704920923143;0.537105044767626;77.5638510458794;0.228689705647716;6.71666666666667;0.198614535048635;6.40013505633576;0.142341376273056;0.289402533978212;0.19982630443618;0.171232116462529;0.179913620714099;15.6653903694966;0.228683756921147;-0.0967435152464765;0.293292887643628;-2.37619853350502;0.37787840107561;0.179376772622955;-0.00148498273657011
Orange;ORA;CAC40;0;3.265;-0.0604853789297846;0.503649366222203;0.0314717090298877;-0.0744491801955003;-0.420316287606902;-0.473235730211987;-0.114555117071437;0.214206075579002;-0.180059940156547;0.207183452388311;-0.0638046542655004;-0.154250393341943;-0.0875138137205802;-0.0587000413356024;0.0449471294961562;11.0358277500694;-0.139596288478584;0.489822655827857;-0.231188084875266;-0.0418674630904185;-0.425629674416289;0.0199881094674758;0.704355238514539
Publicis Groupe;PUB;CAC40;1;25.575;0.346315909286589;0.130283361920686;0.640556064598383;0.282299992944641;0.322380667469807;0.427918460644978;0.555208705614007;0.851465201465202;0.263971003899191;1.84680620025789;1.07999451400176;0.530176375317897;0.301555858266169;0.178984191471687;0.120906465548416;13.6809192012424;0.305304348720084;0.0104103006199342;0.26462786399063;-2.24224784577944;-0.27036600682866;-0.0107621170448256;0.896463246055435
Pernod Ricard;RI;CAC40;1;33.54;0.178263933036774;0.564312212766274;0.358482382636662;0.0114434596824992;-0.173995270337;1.13947258072117;0.0475083322439633;0.0146671194063183;0.32794675530094;10.5329506089682;0.592712780899724;0.0933672576861181;0.689817185480959;0.218874115283076;0.084185909528425;17.2941412077329;0.12234805486597;0.606488802044684;-0.129502767206623;0.562276516021563;-0.485760592723475;0.337270774621044;-0.283074633295094
Renault;RNO;CAC40;1;65.47;0.226892780508147;0.436053396565734;0.161050336864068;-0.0640435309680291;1.56800468895961;0.232982988938601;0.0670135552310733;-0.0732301978982116;0.264693826949441;0.192892681139596;-0.0706959688966746;-0.153419679842444;0.317257514908026;-0.0144724561459828;-0.026582351351106;36.5662867345744;0.0670135552310733;0.222286775603163;32.2388392285343;-0.189359030525111;1.21365674955554;-0.0194827833875412;0.534833281289425
